date,low,open,volume,high,close,adjustedclose,rsi,BBB_5_2.0,BBP_5_2.0,ema7,day_direction,golden_crossover_short,death_crossover_short,golden_crossover_long,death_crossover_long,RSI_overbought_cross,RSI_oversold_cross,RSI_overbought,RSI_oversold,momentum,psr,ir,ffer,sp500_return,sp500_BBB_5_2.0,sp500_BBP_5_2.0
2013-05-06,13.789999961853027,13.789999961853027,87800,14.140000343322756,14.0,14.0,53.09647032214805,8.895977815541672,0.7916111187455415,13.69542295017793,1,0,0,0,0,0,0,0,0,0.9600000381469727,6.4,1.928181818,0.109032258,0.0019078058993322602,3.1703558792475564,0.8060583191122003
2013-05-07,14.020000457763672,14.06999969482422,91200,14.4399995803833,14.289999961853027,14.289999961853027,56.47190148381038,11.669356576413682,0.8313669803188147,13.844067203096705,1,0,0,0,0,0,0,0,0,0.6999998092651367,6.4,1.928181818,0.109032258,0.005230293663060381,3.857508175839645,0.7955109951854443
2013-05-08,13.899999618530273,14.25,75200,14.25,14.09000015258789,14.09000015258789,53.6066752067022,6.863455976600014,0.6398946256234342,13.9055504404695,0,0,0,0,0,0,0,0,0,0.4700002670288086,6.4,1.928181818,0.109032258,0.004139093212625067,2.9427080765434135,0.8163300005060823
2013-05-09,13.920000076293945,14.039999961853027,66800,14.119999885559082,14.029999732971193,14.029999732971193,52.74211852004304,4.403561916643812,0.47736173985932895,13.936662763594924,0,0,0,0,0,0,0,0,0,0.26999950408935725,6.4,1.928181818,0.109032258,-0.0036871665778561713,1.6306029844017291,0.6217135475186433
2013-05-10,13.880000114440918,14.0600004196167,41700,14.09000015258789,13.899999618530273,13.899999618530273,50.829346296403166,3.684320911436679,0.18731200373306878,13.927496977328762,0,0,0,0,0,0,0,0,0,0.39999961853027344,6.4,1.928181818,0.109032258,0.004321712455507276,1.4258595899515782,0.7756531769696094
2013-05-13,13.539999961853027,13.84000015258789,50900,13.84000015258789,13.640000343322756,13.640000343322756,47.14662084603991,6.161524932424414,0.0939667049576467,13.85562281882726,0,0,0,0,0,0,0,0,0,-0.2699995040893537,6.4,1.928181818,0.109032258,4.284752402528014e-05,0.8567963266631915,0.7299120263629292
2013-05-14,13.510000228881836,13.630000114440918,66800,13.800000190734865,13.789999961853027,13.789999961853027,49.42333099024745,4.68261193450192,0.3462519600908525,13.839217104583703,1,0,0,0,0,0,0,0,0,0.06000041961669922,6.4,1.928181818,0.109032258,0.01014218647667664,1.93298798650234,0.9715187201316394
2013-05-15,13.710000038146973,13.770000457763672,80600,14.199999809265135,14.109999656677244,14.109999656677244,53.97788302874833,4.826320556959691,0.8221142092291023,13.906912742607089,1,0,0,0,0,0,0,0,0,1.0099992752075178,6.4,1.928181818,0.109032258,0.005114097701079735,2.9127775764952637,0.8793377794742658
2013-05-16,14.15999984741211,14.15999984741211,65700,14.460000038146973,14.40999984741211,14.40999984741211,57.81342195320584,7.6765730576368405,0.9102880319515828,14.032684518808344,1,1,0,0,0,0,0,0,0,0.8199996948242188,6.4,1.928181818,0.109032258,-0.005009705928453401,2.4341095434371818,0.6262885699909176
2013-05-17,14.390000343322756,14.470000267028807,64700,14.600000381469727,14.5600004196167,14.5600004196167,59.62528489221789,9.951791005369678,0.8263501929417761,14.164513494010432,1,0,0,0,0,0,0,0,0,0.75,6.4,1.928181818,0.109032258,0.010300096336195221,2.701588581540231,0.8428720344973775
2013-05-20,14.470000267028807,14.520000457763672,108800,14.760000228881836,14.56999969482422,14.56999969482422,59.74938833121272,8.380721653774803,0.7355027114772185,14.265885044213878,1,0,0,0,0,0,0,0,0,0.5699996948242205,6.4,1.928181818,0.109032258,-0.0007076589084061835,1.7791620172752276,0.7582138203231646
2013-05-21,14.449999809265135,14.579999923706055,54000,14.699999809265135,14.5600004196167,14.5600004196167,59.552256276245316,4.884109743704819,0.667290303451454,14.339413888064584,0,0,0,0,0,0,0,0,0,0.2700004577636719,6.4,1.928181818,0.109032258,0.0017223892599729231,1.6737888767060876,0.7417195478003046
2013-05-22,14.380000114440918,14.539999961853027,158100,14.920000076293945,14.4399995803833,14.4399995803833,57.11675825469834,1.889373198249297,0.2519231453449089,14.364560311144263,0,0,0,0,0,0,0,0,0,0.34999942779541016,6.4,1.928181818,0.109032258,-0.008273622660500024,1.7898123544280176,0.28488456679050234
2013-05-23,12.989999771118164,13.149999618530273,135300,13.899999618530273,13.760000228881836,13.760000228881836,45.70900273136108,8.699165194370144,0.005902902029063503,14.213420290578657,0,0,0,0,0,0,0,0,0,-0.26999950408935725,6.4,1.928181818,0.109032258,-0.002923852961609241,1.786884699148696,0.12126600094983925
