,Model Type,Train RMSE,Cross-Val RMSE,Test RMSE,Train Accuracy,Test Accuracy,Normality of Residuals,company
0,Elastic Net,-20.809594047890794,-45.573970792407444,-68.40512360295989,0.5,0.5088888888888888,4.51118422517819e-16,FLT
1,SVR,-99.72600682134399,-221.28041749257312,-235.12667824476054,0.5411568409343716,0.5222222222222223,0.0,FLT
2,Ridge,20.809018213189216,-54.93250513278067,68.70814476461781,0.4994438264738598,0.5155555555555555,4.727495267061703e-16,FLT
0,Elastic Net,-15.490314037803012,-20.537177413891996,-64.42666388775052,0.4988876529477197,0.5266666666666666,3.594440029610666e-05,CMI
1,SVR,-27.369204883014483,-122.78457438261258,-8.059100079019148,0.503337041156841,0.48,1.4324326175038522e-302,CMI
2,Ridge,20.038618825789648,-23.789193415337778,81.06956493350928,0.4966629588431591,0.5133333333333333,6.462976084122121e-05,CMI
0,Elastic Net,-3.3185183865927277,-5.4194049450072965,-9.681905671690055,0.5050055617352615,0.49777777777777776,2.6616890002791637e-70,MGM
1,SVR,-32.0446813163829,-22.92281468843742,-35.29964585602277,0.5228031145717463,0.48,0.0,MGM
2,Ridge,5.523943481441398,-6.4344248299345255,12.15976322035383,0.5044493882091212,0.5177777777777778,1.0608738489732352e-05,MGM
0,Elastic Net,-8.671992907332992,-24.892497952934885,-45.932601033482676,0.5105042016806722,0.4677871148459384,3.451916632742947e-91,ALLE
1,SVR,-5.576505397483079,-37.44460421876603,-7.449702992409442,0.49229691876750703,0.5014005602240896,7.892605214987019e-200,ALLE
2,Ridge,7.932948481665607,-28.762798496229266,40.52324699591331,0.5147058823529411,0.47058823529411764,2.558765236336261e-45,ALLE
0,Elastic Net,-0.7858098089361342,-0.7868373711556402,-2.1735685047615174,0.4988876529477197,0.49333333333333335,1.2903756525018843e-94,EW
1,SVR,-46.878858780619176,-137.03949021174475,-6.603127651496642,0.5333704115684094,0.4533333333333333,0.0,EW
2,Ridge,0.7788006684874428,-0.7945554711608462,2.439420136414663,0.4938820912124583,0.4777777777777778,4.6413100536048824e-91,EW
0,Elastic Net,-2.4693887460607176,-5.342663269500278,-9.405723714904266,0.5222469410456062,0.5111111111111111,2.765351091036627e-26,IBM
1,SVR,-5.47106458569897,-58.6428877432666,-31.55700111335284,0.5044493882091212,0.5133333333333333,0.29226657409640167,IBM
2,Ridge,2.347296831871832,-5.763062765305032,10.244303274594236,0.5133481646273638,0.52,3.2183660365051287e-33,IBM
0,Elastic Net,-0.23546256807254334,-0.20817417879829433,-0.6832862587256412,0.5344827586206896,0.5377777777777778,3.302888907732064e-216,ROL
1,SVR,-3.386552869002019,-26.173303343454087,-19.5333766641348,0.4771968854282536,0.44666666666666666,0.0,ROL
2,Ridge,0.23384795619759283,-0.21633024466201797,0.6882285039793099,0.5367074527252503,0.5533333333333333,3.399265450796366e-218,ROL
0,Elastic Net,-5.205630983263381,-4.793856371525795,-15.062878129799275,0.5022246941045606,0.4777777777777778,0.0,ALGN
1,SVR,0.9961429480500936,-9.242297629676958,0.9902489725281713,0.4838709677419355,0.5066666666666667,4.795106540149429e-282,ALGN
2,Ridge,5.048308484481779,-5.008150729798494,15.093255006509159,0.492769744160178,0.47555555555555556,0.0,ALGN
0,Elastic Net,-1.7220585552138143,-1.69234479613113,-5.451695843222797,0.5372636262513905,0.4911111111111111,0.0,AON
1,SVR,0.5506975401316476,-27.689365516341603,0.453045692429378,0.5489432703003337,0.5022222222222222,4.171420486595764e-186,AON
2,Ridge,1.7082431873463582,-1.7136685762295791,5.429189040150506,0.5272525027808677,0.4822222222222222,0.0,AON
0,Elastic Net,-25.10923458617449,-52.210233465199394,-45.2953645583567,0.5050055617352615,0.5666666666666667,5.5112226537855066e-08,FDX
1,SVR,-6.1912830082279875,-70.96627052369936,-3.6515110450259494,0.474972191323693,0.5022222222222222,0.0,FDX
2,Ridge,30.013572646356256,-51.12898597946664,46.606526696553445,0.5044493882091212,0.54,0.004314605704557362,FDX
0,Elastic Net,-2.2708177800709457,-2.1017516329478703,-6.990987315108449,0.5155728587319244,0.5066666666666667,7.191441899522095e-85,ADSK
1,SVR,-0.20225896406629174,-45.39208795734341,-1.5324022487575477,0.5072302558398221,0.45111111111111113,8.629297699816135e-235,ADSK
2,Ridge,2.225131906570858,-2.183731260201382,7.044557225976252,0.4988876529477197,0.4822222222222222,3.0417187315959626e-84,ADSK
