date,psr,m2,ccpi,dspic,ir,ffer,sp500_close,sp500_return,sp500_BBB_5_2.0,sp500_BBP_5_2.0,sp500_ema_7,sp500_ema_22,sp500_ema_50,sp500_ema_252
2015-08-11,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,2084.07,-0.009557167162504987,1.9685932886732787,0.35965177943602833,2091.578575338424,2095.1415527215377,2096.242838379754,2041.8841839126792
2015-08-12,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,2086.05,0.0009500640573494312,1.7256622432692952,0.4712350506597885,2090.1964315038176,2094.350982919665,2095.843119227607,2042.2333207987451
2015-08-13,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,2083.39,-0.0012751372210638712,1.7282894418098889,0.39847602972903373,2088.4948236278633,2093.3978539701293,2095.354761610838,2042.558670041443
2015-08-14,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,2091.54,0.0039118935964941315,1.4771073371724839,0.5548765836296088,2089.2561177208972,2093.236301450988,2095.2051631162954,2042.9458742308389
2015-08-15,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,,,,,,,,
2015-08-16,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,,,,,,,,
2015-08-17,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,2102.44,0.005211470973541132,1.354518260480901,0.9572719603322413,2092.552088290673,2094.0366230639456,2095.488882209774,2043.4161835254567
2015-08-18,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,2096.92,-0.0026255208234241545,1.3327036340908387,0.6740249083058316,2093.644066218005,2094.287351493168,2095.5450044760573,2043.8391385964019
2015-08-19,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,2079.61,-0.008254964424012301,1.6089081615108223,0.1679422802130206,2090.1355496635038,2093.0110600589796,2094.9201023397413,2044.1219122043356
2015-08-20,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,2035.73,-0.021100110116800797,4.608778872019753,0.025459299858907068,2076.5341622476276,2088.030098314721,2092.59892185583,2044.055572977424
2015-08-21,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,1970.89,-0.031850982202944356,9.540538429651782,0.06064434210095472,2050.1231216857204,2077.844002809093,2087.8260229595235,2043.4771890013178
2015-08-22,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,,,,,,,,
2015-08-23,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,,,,,,,,
2015-08-24,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,1893.21,-0.03941366590728046,14.87790926744758,0.09289643555899431,2010.8948412642903,2061.7888721300415,2080.19402205915,2042.2893060843116
2015-08-25,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,1867.61,-0.013522007595565322,16.42885713667888,0.18536698921304742,1975.0736309482177,2044.9037528143858,2071.8573937431047,2040.9084420045938
2015-08-26,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,1940.51,0.03903384539598753,12.200525323686119,0.49544080992797374,1966.4327232111632,2035.8260351783524,2066.706515557101,2040.1147784314348
2015-08-27,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,1987.66,0.024297736162143035,9.412381664881588,0.8062169091416823,1971.7395424083725,2031.6376842932784,2063.6066522019205,2039.7001161513447
2015-08-28,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,1988.87,0.0006087560246721413,10.120549560968602,0.7720805429205854,1976.0221568062793,2027.918755224298,2060.6758030959627,2039.2982970513342
2015-08-29,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,,,,,,,,
2015-08-30,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,,,,,,,,
2015-08-31,7.3,12059.78,242.817,13354.9,2.167142857,0.138064516,1972.18,-0.008391699809439435,9.299140963696974,0.6147027909738776,1975.0616176047097,2023.0719069439242,2057.205379445141,2038.7677176280038
2015-09-01,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1913.85,-0.029576407832956453,5.951377379840962,0.09922367147349899,1959.7587132035324,2013.5743498183658,2051.583599859057,2037.780225789047
2015-09-02,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1948.86,0.018292969668469272,5.7473506207256,0.38097110868818296,1957.0340349026492,2007.9470150515517,2047.555223393996,2037.0772991029678
2015-09-03,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1951.13,0.0011647835144650287,5.166714532085064,0.46190405754849084,1955.558026176987,2003.0064050470692,2043.7738420844275,2036.3978738136166
2015-09-04,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1921.22,-0.015329578244401953,4.384128189763807,0.26234665145327946,1946.9735196327404,1995.8945437386285,2038.967809061509,2035.4873767874221
2015-09-05,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,,,,,,,,
2015-09-06,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,,,,,,,,
2015-09-07,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,,,,,,,,
2015-09-08,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1969.41,0.025083020164270664,4.2234387820875465,0.8478728898799388,1952.5826397245553,1993.5915399352696,2036.2400518434106,2034.9650259827786
2015-09-09,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1942.04,-0.013897563229596788,3.197839980492535,0.42783585474914043,1949.9469797934164,1989.1087973322026,2032.545932163277,2034.2304407971442
2015-09-10,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1952.29,0.005277955139955992,3.2300448775272717,0.5806410386853392,1950.5327348450624,1985.9071627815765,2029.3986407058935,2033.5826902770089
2015-09-11,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1961.05,0.0044870382986135215,3.4247210647094057,0.6774855465065813,1953.1620511337967,1983.7456703657874,2026.718301854682,2033.0093093262026
2015-09-12,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,,,,,,,,
2015-09-13,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,,,,,,,,
2015-09-14,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1953.03,-0.0040896458529868784,1.8787988849523214,0.4310309437871676,1953.1290383503474,1981.074742507893,2023.8285645270475,2032.3770618216477
2015-09-15,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1978.09,0.012831344116577714,2.4565899550884542,0.932378829522833,1959.3692787627606,1980.8151996811198,2022.0348953299085,2031.9479150878797
2015-09-16,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1995.31,0.008705367298757816,3.360617342095383,0.9136362460972215,1968.3544590720703,1982.0756171001528,2020.9868602189317,2031.658287300624
2015-09-17,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1990.2,-0.0025610055580335134,3.300967714937476,0.7248672594594948,1973.8158443040527,1982.7820851784006,2019.779532367209,2031.3305538041764
2015-09-18,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,1958.03,-0.016164204602552523,3.417712876068627,0.24959074508762577,1969.8693832280394,1980.6297299454964,2017.3579820782988,2030.7511027859616
2015-09-19,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,,,,,,,,
2015-09-20,7.4,12135.95,243.31599999999997,13392.0,2.1728571430000003,0.136,,,,,,,,
